name,id,name_type,class,mass,fall,year,lat,long,geolocation,country,mass_range
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,2008,20.74575,32.41275,"(20.74575, 32.41275)",Sudan,1000-9999
Alta'ameem,2284,Valid,LL5,6000,Fell,1977,35.27333,44.21556,"(35.27333, 44.21556)",Iraq,1000-9999
Ambapur Nagla,2290,Valid,H5,6400,Fell,1895,27.66667,78.25,"(27.66667, 78.25)",India,1000-9999
Andhara,2294,Valid,Stone-uncl,2700,Fell,1880,26.58333,85.56667,"(26.58333, 85.56667)",India,1000-9999
Andover,2295,Valid,L6,3200,Fell,1898,44.61667,-70.75,"(44.61667, -70.75)",United States,1000-9999
Andreevka,2296,Valid,L3,600,Fell,1969,48.7,37.5,"(48.7, 37.5)",Ukraine,0-999
Andura,2298,Valid,H6,17900,Fell,1939,20.88333,76.86667,"(20.88333, 76.86667)",India,10000-99999
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,"(0.0, 0.0)",,0-999
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,1869,-22.96667,-44.31667,"(-22.96667, -44.31667)",Brazil,1000-9999
Ankober,2304,Valid,H4,6500,Fell,1942,9.53333,39.71667,"(9.53333, 39.71667)",Ethiopia,1000-9999
Anlong,2305,Valid,H5,2500,Fell,1971,25.15,105.18333,"(25.15, 105.18333)",China,1000-9999
Aomori,2313,Valid,L6,320,Fell,1984,40.81056,140.78556,"(40.81056, 140.78556)",Japan,0-999
Appley Bridge,2318,Valid,LL6,15000,Fell,1914,53.58333,-2.71667,"(53.58333, -2.71667)",United Kingdom,10000-99999
Apt,2320,Valid,L6,3200,Fell,1803,43.86667,5.38333,"(43.86667, 5.38333)",France,1000-9999
Arbol Solo,2325,Valid,H5,810,Fell,1954,-33,-66,"(-33.0, -66.0)",Argentina,0-999
Archie,2329,Valid,H6,5070,Fell,1932,38.5,-94.3,"(38.5, -94.3)",United States,1000-9999
Arroyo Aguiar,2340,Valid,H5,7450,Fell,1950,-31.41667,-60.66667,"(-31.41667, -60.66667)",Argentina,1000-9999
Asco,2345,Valid,H6,41,Fell,1805,42.45,9.03333,"(42.45, 9.03333)",France,0-999
Ash Creek,48954,Valid,L6,9500,Fell,2009,31.805,-97.01,"(31.805, -97.01)",United States,1000-9999
Ashdon,2346,Valid,L6,1300,Fell,1923,52.05,0.3,"(52.05, 0.3)",United Kingdom,1000-9999
Assisi,2353,Valid,H5,2000,Fell,1886,43.03333,12.55,"(43.03333, 12.55)",Italy,1000-9999
