name,id,name_type,class,mass,fall,year,lat,long,geolocation,country,mass_range,group
Bawku,4976,Valid,LL5,1557.0,Fell,1989,11.08333,-0.18333,"(11.08333, -0.18333)",Ghana,1000-9999,Chondrites
Baxter,4977,Valid,L6,611.0,Fell,1916,36.75,-93.5,"(36.75, -93.5)",United States,0-999,Chondrites
Beardsley,4984,Valid,H5,16000.0,Fell,1929,39.8,-101.2,"(39.8, -101.2)",United States,10000-99999,Chondrites
Beaver Creek,4986,Valid,H5,14000.0,Fell,1893,51.16667,-117.33333,"(51.16667, -117.33333)",Canada,10000-99999,Chondrites
Beddgelert,4993,Valid,H5,794.0,Fell,1949,53.01667,-4.1,"(53.01667, -4.1)",United Kingdom,0-999,Chondrites
Bells,5005,Valid,C2-ung,375.0,Fell,1961,33.6,-96.46667,"(33.6, -96.46667)",United States,0-999,Chondrites
Benares (a),5011,Valid,LL4,3700.0,Fell,1798,25.36667,82.91667,"(25.36667, 82.91667)",India,1000-9999,Chondrites
Benguerir,30443,Valid,LL6,25000.0,Fell,2004,32.25,-8.15,"(32.25, -8.15)",Morocco,10000-99999,Chondrites
Beni M'hira,5018,Valid,L6,19000.0,Fell,2001,32.86667,10.8,"(32.86667, 10.8)",Tunisia,10000-99999,Chondrites
Benld,5021,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,"(39.08333, -89.15)",United States,1000-9999,Chondrites
Benoni,5023,Valid,H6,3880.0,Fell,1943,-26.16667,28.41667,"(-26.16667, 28.41667)",South Africa,1000-9999,Chondrites
Bensour,5024,Valid,LL6,45000.0,Fell,2002,30.0,-7.0,"(30.0, -7.0)",Morocco,10000-99999,Chondrites
Benton,5026,Valid,LL6,2840.0,Fell,1949,45.95,-67.55,"(45.95, -67.55)",Canada,1000-9999,Chondrites
Berduc,48975,Valid,L6,270.0,Fell,2008,-31.91,-58.32833,"(-31.91, -58.32833)",Argentina,0-999,Chondrites
B̩r̩ba,5028,Valid,Eucrite-mmict,18000.0,Fell,1924,11.65,-3.65,"(11.65, -3.65)",Burkina Faso,10000-99999,Achondrites
Berlanguillas,5029,Valid,L6,1440.0,Fell,1811,41.68333,-3.8,"(41.68333, -3.8)",Spain,1000-9999,Chondrites
Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325,"(40.30583, -105.02325)",United States,0-999,Achondrites
Bethlehem,5032,Valid,H,13.9,Fell,1859,42.53333,-73.83333,"(42.53333, -73.83333)",United States,0-999,Chondrites
Beuste,5034,Valid,L5,2000.0,Fell,1859,43.21667,-0.23333,"(43.21667, -0.23333)",France,1000-9999,Chondrites
Beyrout,5035,Valid,LL3.8,1100.0,Fell,1921,33.88333,35.5,"(33.88333, 35.5)",Lebanon,1000-9999,Chondrites
Bhagur,5037,Valid,L6,18.0,Fell,1877,20.88333,74.83333,"(20.88333, 74.83333)",India,0-999,Chondrites
Bhawad,36591,Valid,LL6,678.0,Fell,2002,26.50833,73.11528,"(26.50833, 73.11528)",India,0-999,Chondrites
Bherai,5039,Valid,L6,100.0,Fell,1893,20.83333,71.46667,"(20.83333, 71.46667)",India,0-999,Chondrites
Bhola,5040,Valid,LL3-6,1047.0,Fell,1940,22.68333,90.65,"(22.68333, 90.65)",Bangladesh,1000-9999,Chondrites
Bholghati,5041,Valid,Howardite,2500.0,Fell,1905,22.08333,86.9,"(22.08333, 86.9)",India,1000-9999,Achondrites
Bialystok,5042,Valid,Eucrite-pmict,4000.0,Fell,1827,53.1,23.2,"(53.1, 23.2)",Poland,1000-9999,Achondrites
Bielokrynitschie,5043,Valid,H4,1900.0,Fell,1887,50.13333,27.16667,"(50.13333, 27.16667)",Ukraine,1000-9999,Chondrites
Bilanga,5045,Valid,Diogenite,25000.0,Fell,1999,12.45,-0.08333,"(12.45, -0.08333)",Burkina Faso,10000-99999,Achondrites
Binningup,5051,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,"(-33.15639, 115.67639)",Australia,0-999,Chondrites
Birni N'konni,5056,Valid,H4,560.0,Fell,1923,13.76667,5.3,"(13.76667, 5.3)",Nigeria,0-999,Chondrites
Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843,34.16667,-80.28333,"(34.16667, -80.28333)",United States,1000-9999,Achondrites
Bishunpur,5060,Valid,LL3.15,1039.0,Fell,1895,25.38333,82.6,"(25.38333, 82.6)",India,1000-9999,Chondrites
Bjelaja Zerkov,5063,Valid,H6,1850.0,Fell,1796,49.78333,30.16667,"(49.78333, 30.16667)",Ukraine,1000-9999,Chondrites
Bjurb̦le,5064,Valid,L/LL4,330000.0,Fell,1899,60.4,25.8,"(60.4, 25.8)",Finland,100000-999999,Chondrites
Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941,40.91667,-78.08333,"(40.91667, -78.08333)",United States,0-999,Chondrites
Blackwell,5068,Valid,L5,2381.0,Fell,1906,36.83333,-97.33333,"(36.83333, -97.33333)",United States,1000-9999,Chondrites
Blanket,5071,Valid,L6,5100.0,Fell,1909,31.83333,-98.83333,"(31.83333, -98.83333)",United States,1000-9999,Chondrites
Blansko,5072,Valid,H6,470.0,Fell,1833,49.36667,16.63333,"(49.36667, 16.63333)",Czechia,0-999,Chondrites
Bloomington,5076,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.48, -89.00417)",United States,0-999,Chondrites
Bo Xian,5090,Valid,LL3.9,7500.0,Fell,1977,33.83333,115.83333,"(33.83333, 115.83333)",China,1000-9999,Unknown
Bocas,5093,Valid,L6,56.0,Fell,1804,23.0,-102.0,"(23.0, -102.0)",Mexico,0-999,Chondrites
Bogou,5097,Valid,"Iron, IAB-MG",8800.0,Fell,1962,12.5,0.7,"(12.5, 0.7)",Burkina Faso,1000-9999,Iron meteorites
Boguslavka,5098,Valid,"Iron, IIAB",256000.0,Fell,1916,44.55,131.63333,"(44.55, 131.63333)",Russia,100000-999999,Iron meteorites
Borgo San Donino,5110,Valid,LL6,1676.0,Fell,1808,44.86667,10.05,"(44.86667, 10.05)",Italy,1000-9999,Chondrites
Bori,5111,Valid,L6,8600.0,Fell,1894,21.95,78.03333,"(21.95, 78.03333)",India,1000-9999,Chondrites
Boriskino,5112,Valid,CM2,1342.0,Fell,1930,54.23333,52.48333,"(54.23333, 52.48333)",Russia,1000-9999,Chondrites
